Valor Arriendo,Valor_Arriendo_SM,Area Construida,Cuartos,Banos,Garajes,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
1850000,1.4230769230769231,60.0,3,2,1,,4.7393719999999995,-74.06383,1706.435481681894,23.311464354380668,1.0,1.0,1.0,3.0,160.54504876930997,141.15687801881654,1464.9516507776661,1.0
2470000,1.9,72.0,3,2,1,,4.75357,-74.06134,1700.2343565634174,129.61175619803154,1.0,1.0,1.0,1.0,371.1710576424957,290.9609383469503,292.4895094852277,1.0
1450000,1.1153846153846154,36.5,2,1,0,3.0,4.747002124786377,-74.0621109008789,1644.5693268337955,292.20376589323195,3.0,1.0,1.0,1.0,88.80188318685357,139.81936204683774,898.7417815819048,1.0
4000000,3.076923076923077,105.0,4,4,2,6.0,4.719239711761475,-74.0768051147461,324.2346911569473,149.805290623285,1.0,1.0,1.0,1.0,521.8847972940263,446.2731553875953,262.42548963099676,1.0
3500000,2.6923076923076925,92.6,2,2,2,,4.718049,-74.07437,365.8272477664309,14.217111905880213,1.0,1.0,1.0,2.0,234.09468606345058,146.41873041086953,71.77382305129476,1.0
11000000,8.461538461538462,280.0,3,4,4,6.0,4.71971,-74.08159,778.7672833560358,678.958308703261,1.0,1.0,1.0,1.0,816.1615727332062,932.9285435522362,771.2109453872878,1.0
4100000,3.1538461538461537,84.0,3,2,2,5.0,4.72744,-74.06613,952.1629039425848,152.5791694842116,1.0,1.0,1.0,1.0,126.52707543047589,107.86825845345352,325.0901204530716,1.0
9000000,6.923076923076923,238.0,3,4,3,5.0,4.73231,-74.07215,611.2488379321438,152.25957218137253,1.0,1.0,1.0,1.0,517.3309648341137,538.0089871509766,326.39772125394745,1.0
5200000,4.0,134.0,3,3,2,,4.74458,-74.06656,1886.9037285205948,163.80331107877905,1.0,1.0,1.0,1.0,342.387543392234,342.30486566329716,1416.3714148379872,1.0
1500000,1.1538461538461537,49.0,3,1,1,,4.743985776,-74.087317246,452.04001883991697,399.68104276427704,1.0,1.0,1.0,1.0,100.01941587214415,365.16568616441674,369.38240190994634,1.0
1800000,1.3846153846153846,36.0,2,1,0,4.0,4.742629528045654,-74.06976318359375,1471.2784934695967,508.8800493411845,1.0,1.0,1.0,1.0,635.6536683907048,624.3816772403528,1256.270433076425,1.0
10500000,8.076923076923077,212.0,3,3,2,,4.71965,-74.11106,1133.928928261395,161.7236118544935,1.0,1.0,1.0,1.0,122.25485663256661,455.5784065581029,1458.2597757287479,1.0
8800000,6.769230769230769,192.0,2,3,3,6.0,4.71762,-74.08135,838.6059864802384,585.6717375965221,1.0,1.0,1.0,1.0,843.8386873141052,898.0943882668316,602.5931450822799,1.0
9000000,6.923076923076923,487.0,4,5,4,,4.7327943,-74.0761799,607.5496753669739,166.07725699205986,1.0,1.0,1.0,1.0,656.6963743290064,450.24395275703927,47.012039546081745,1.0
2800000,2.1538461538461537,90.54,3,3,2,5.0,4.72899,-74.06857,703.317364118037,32.073557511240054,1.0,1.0,1.0,2.0,110.6385855014247,40.6738518357154,400.7600247633481,1.0
11200000,8.615384615384615,238.0,3,4,3,5.0,4.73228,-74.072524,590.0648067160647,127.04654866212124,1.0,1.0,1.0,1.0,551.7126117387356,521.587834672128,285.1581044110893,1.0
6000000,4.615384615384615,295.0,4,5,3,,4.727153301239014,-74.07573699951172,117.34302499127783,94.635202178319,1.0,1.0,1.0,1.0,508.9426016088269,533.4533735977543,120.93349169321368,1.0
10200000,7.846153846153846,285.0,3,5,3,5.0,4.7324,-74.07293,585.4766059399941,118.96072458587167,1.0,1.0,1.0,1.0,597.7092276288494,491.32005346222314,239.55911243316137,1.0
1950000,1.5,41.0,1,1,1,,4.718379215,-74.070738482,552.9941659396947,95.9212106674341,1.0,1.0,1.0,1.0,174.40879743862806,103.39329258065314,342.31014729387704,1.0
10000000,7.6923076923076925,225.0,3,5,3,6.0,4.742862701416016,-74.07218933105469,1268.9505663132313,480.9274671217875,1.0,1.0,1.0,1.0,541.571191281505,748.275620946377,1159.0844571073287,1.0
12000000,9.23076923076923,297.0,3,4,2,5.0,4.7317355394,-74.0732249862,505.299241181174,41.2835045072319,1.0,1.0,1.0,3.0,598.1389026910197,550.5470102359182,221.34737245271714,1.0
9500000,7.3076923076923075,189.0,3,4,2,,4.707333088,-74.083687504,1206.0426721154784,237.8216969829068,1.0,1.0,1.0,1.0,909.7045116916182,658.3509571361989,553.5791068308025,1.0
2300000,1.7692307692307692,86.0,3,2,1,4.0,4.73479,-74.05262,377.66735297050883,88.22321180483792,1.0,1.0,1.0,1.0,179.84552984698124,222.0433058350089,1723.7096478510382,1.0
10000000,7.6923076923076925,326.51,4,5,4,6.0,4.719205,-74.079351,561.1494448018889,425.2033338206452,1.0,1.0,1.0,1.0,764.928875135548,706.7616392965267,542.7349421750394,1.0
4850000,3.730769230769231,126.0,3,3,2,6.0,4.75749999,-74.06791999,2447.6955111168386,233.85665477275873,1.0,1.0,1.0,1.0,721.840115456668,544.3630756363617,389.8422287044504,1.0
25000000,19.23076923076923,377.0,4,5,4,6.0,4.723251,-74.078718,487.6319298333602,601.9578815489648,1.0,1.0,1.0,1.0,816.3229776205623,721.7605043913334,425.5791597260225,1.0
10100000,7.769230769230769,274.0,4,5,4,6.0,4.7454388,-74.0718209,1495.7095733188735,746.9220658033688,1.0,1.0,1.0,1.0,823.5098950682307,518.5862587244055,1441.6131676687087,1.0
2300000,1.7692307692307692,65.0,3,2,1,4.0,4.74281,-74.05443,720.0892937942475,418.87203603922796,1.0,1.0,1.0,1.0,307.1730029739002,394.22428284793,1120.4916517484073,1.0
7800000,6.0,193.0,3,3,3,,4.7169673601,-74.0804059298,790.922937333476,460.0703389568706,1.0,1.0,1.0,1.0,818.5747592517014,793.8206821118036,532.577277523237,1.0
3832700,2.9482307692307694,104.0,3,3,2,5.0,4.707089424133301,-74.06936645507812,205.620496407428,418.87490151279985,1.0,1.0,1.0,1.0,241.03171022758943,234.91688612991476,219.85265297828127,1.0
2950000,2.269230769230769,70.0,3,2,1,5.0,4.7281408342999995,-74.0658397134,987.616658658735,108.40480018071409,3.0,1.0,1.0,2.0,66.83439327014939,122.95130375861045,404.68897386974015,1.0
1950000,1.5,31.0,1,1,0,4.0,4.736690998077393,-74.05268096923828,451.7713745764057,149.15497070508462,1.0,1.0,1.0,1.0,321.1098277592106,281.363112174347,1742.7733465424094,1.0
7224110,5.5570076923076925,226.0,3,4,3,6.0,4.718820095062256,-74.08136749267578,784.031152045693,646.0172114622773,1.0,1.0,1.0,1.0,833.3771878584939,914.3885068110304,735.1459801979361,1.0
8400000,6.461538461538462,131.0,3,3,2,,4.713766412,-74.087517163,855.5914226727642,605.9682356565996,1.0,1.0,1.0,1.0,566.8784917382054,625.4306771659408,287.53486849191415,1.0
1900000,1.4615384615384615,36.0,2,1,0,4.0,4.741128921508789,-74.06914520263672,1450.8726118106076,389.95636806840594,1.0,1.0,1.0,1.0,478.19440076244,511.37854507740224,1162.2562886886917,1.0
5000000,3.8461538461538463,123.0,3,2,1,3.0,4.747329235076904,-74.05615234375,991.0634019647958,424.4003147635266,1.0,1.0,1.0,1.0,120.19673962614563,184.63768363310695,670.2303275609614,1.0
6900000,5.3076923076923075,205.0,3,3,2,5.0,4.736444473266602,-74.0626449584961,1503.7446670236668,29.350066593889505,1.0,1.0,1.0,2.0,394.18778481701014,473.06448365794796,1373.336156309593,1.0
1800000,1.3846153846153846,51.05,2,2,1,4.0,4.75155,-74.05596,1139.9320362558637,223.94628653413017,1.0,1.0,1.0,1.0,256.1903683892627,176.47027693624366,203.34815881091683,1.0
1500000,1.1538461538461537,67.0,3,2,1,,4.72808,-74.1021,637.8265115792174,311.0357172887799,1.0,1.0,1.0,1.0,417.04591996767715,374.6462047026995,146.12822628503613,1.0
4000000,3.076923076923077,165.0,3,3,2,6.0,4.714849,-74.082299,1101.7712266013616,355.39892362187385,1.0,1.0,1.0,1.0,845.4991060284227,1022.00042764488,329.64290808986306,1.0
2200000,1.6923076923076923,75.0,3,2,1,3.0,4.75241,-74.05416,931.6843044340693,73.99827721176986,1.0,1.0,1.0,3.0,216.27887783848075,153.88450413046823,119.94262843387956,1.0
2750000,2.1153846153846154,78.0,3,2,1,4.0,4.73175,-74.05156,226.62772328366822,379.94207292479376,1.0,1.0,1.0,1.0,62.624654380339855,70.73119014409393,1407.3003025795933,1.0
1800000,1.3846153846153846,62.0,3,2,1,3.0,4.74251,-74.08906,233.49388258979252,170.98607314115978,1.0,1.0,1.0,1.0,311.3922897867584,271.34380629164536,117.83837351716079,1.0
6500000,5.0,124.0,4,4,2,5.0,4.74242,-74.05529,810.8431972670589,332.4797674278116,1.0,1.0,1.0,1.0,246.1504099770243,318.5599286901663,1184.91068332738,1.0
4978000,3.829230769230769,121.33,3,4,2,5.0,4.71304,-74.07613,437.0232192993299,251.0203709662626,1.0,1.0,1.0,1.0,335.6280707093153,351.27328879775666,281.1445714537284,1.0
7000000,5.384615384615385,247.0,4,5,2,,4.719263076782227,-74.07594299316406,263.9649711474459,71.63260265468013,1.0,1.0,1.0,1.0,432.6984866646898,366.28970152029666,168.7807200968737,1.0
8000000,6.153846153846154,230.0,3,3,4,,4.72584,-74.07719,325.5024670001346,291.40309922205387,1.0,1.0,1.0,1.0,624.0483034868271,591.9828444043851,333.74780932324006,1.0
7500000,5.769230769230769,208.0,4,4,3,6.0,4.712018966674805,-74.08267974853516,1150.0218829086643,85.36517946877132,1.0,1.0,1.0,2.0,902.6343305781924,989.730781776207,177.95792384695136,1.0
10000000,7.6923076923076925,192.0,3,4,2,6.0,4.717130661010742,-74.08129119873047,860.8944495738497,557.5276017566554,1.0,1.0,1.0,1.0,859.6203626973414,891.2883197906408,548.1625568764324,1.0
4700000,3.6153846153846154,144.8,4,4,2,4.0,4.7329884,-74.05815,955.0603114014909,141.64440859039462,1.0,1.0,1.0,1.0,247.55533504099003,316.05519951273965,1247.176222993344,1.0
3650000,2.8076923076923075,107.1,3,3,2,5.0,4.7406025,-74.05572,869.6885164290494,139.41691926604418,1.0,1.0,1.0,1.0,231.99175412522646,216.81130495826866,1391.3332913631755,1.0
1800000,1.3846153846153846,30.6,1,1,0,4.0,4.7354465,-74.053055,436.77008751882215,7.543838899592227,1.0,1.0,1.0,1.0,256.40538938398186,178.03560165236152,1765.1477941951607,1.0
7000000,5.384615384615385,190.0,3,5,3,6.0,4.7256103,-74.077194,340.1443572976977,304.7786082068975,1.0,1.0,1.0,1.0,621.8924668441094,583.4031654317716,321.93239926277363,1.0
7000000,5.384615384615385,215.0,3,3,1,5.0,4.745052337646484,-74.06816101074219,1769.8829867810823,346.5665076192035,1.0,1.0,1.0,1.0,527.2257878438747,384.83274806888676,1500.604442247212,1.0
6000000,4.615384615384615,128.49,3,3,2,4.0,4.736684799194336,-74.05278015136719,460.7895318556889,145.3118433008342,1.0,1.0,1.0,1.0,322.07490185020174,272.6437192775547,1745.7848988340913,1.0
8000000,6.153846153846154,300.0,3,4,2,6.0,4.7069515783,-74.0828919411,1300.1390490593028,153.50365085603752,1.0,1.0,1.0,1.0,970.9854403834702,733.8049870756051,531.0773920467444,1.0
6800000,5.230769230769231,190.0,3,3,2,6.0,4.7133,-74.0819,1072.3196005878604,182.97206732819217,1.0,1.0,1.0,1.0,861.0676174691419,942.5199542329075,161.03854012198474,1.0
10200000,7.846153846153846,285.0,3,4,3,5.0,4.73242,-74.07252,604.3870746422039,139.96554283002925,1.0,1.0,1.0,1.0,558.8810295446186,507.88282765807014,285.00108820599576,1.0
12000000,9.23076923076923,241.0,3,4,3,6.0,4.729743957519531,-74.08387756347656,713.2892558971959,740.7047946476779,1.0,1.0,1.0,1.0,455.84580926003713,401.76841849683444,450.29283660458896,1.0
1400000,1.0769230769230769,45.12,3,2,0,,4.74794,-74.0898,521.4294197505633,608.1513841653025,1.0,1.0,1.0,1.0,262.3076469608884,210.745424382737,552.543060889788,1.0
13556000,10.427692307692308,326.51,4,5,4,6.0,4.723251,-74.078718,487.6319298333602,601.9578815489648,1.0,1.0,1.0,1.0,816.3229776205623,721.7605043913334,425.5791597260225,1.0
7000000,5.384615384615385,140.0,4,3,2,5.0,4.740848541259766,-74.05622863769531,921.3523338375293,131.45655716164882,1.0,1.0,1.0,1.0,238.6563102242286,266.8061345446654,1381.3827429462024,1.0
3850000,2.9615384615384617,145.0,3,2,1,4.0,4.702544689178467,-74.08045196533203,1126.5330823901827,48.020445503583346,1.0,1.0,1.0,3.0,799.8132564927747,263.60936258405945,195.67884357764422,1.0
6000000,4.615384615384615,210.0,3,4,3,6.0,4.70837029,-74.08165446,1113.6575813962336,61.057468665434016,1.0,1.0,1.0,3.0,800.7478210727141,889.9448956464233,323.1415025344924,1.0
11000000,8.461538461538462,196.0,3,4,3,5.0,4.724820137023926,-74.06217193603516,1257.8827656570754,253.84956801946805,1.0,1.0,1.0,1.0,276.55687250949273,207.3796943861844,242.704510050898,1.0
1900000,1.4615384615384615,70.0,3,2,1,3.0,4.753845691680908,-74.06462097167969,2062.1184026718956,195.9552339422595,1.0,1.0,1.0,1.0,298.96019802326737,373.9564361054551,494.71367646952524,1.0
2200000,1.6923076923076923,79.0,3,2,1,4.0,4.736868381500244,-74.05477142333984,667.4198668816068,151.1185953040891,1.0,1.0,1.0,1.0,199.8951593680624,203.55719195149473,1774.3059038503159,1.0
16000000,12.307692307692308,327.0,4,5,3,,4.7109886,-74.072092,120.9103739879921,121.12271893811669,2.0,1.0,1.0,1.0,66.45264948122266,81.26394887805434,10.694702234361682,1.0
2780000,2.1384615384615384,52.58,2,2,1,4.0,4.725360870361328,-74.05911254882812,966.1989987875019,458.05969383571204,1.0,1.0,1.0,1.0,357.64199573844485,163.82746273923453,476.9331749926584,1.0
14000000,10.76923076923077,275.0,3,4,4,6.0,4.725621,-74.08124,750.9230191962704,723.82865537564,1.0,1.0,1.0,1.0,801.3347149095644,841.5896800833389,747.0940879231164,1.0
12000000,9.23076923076923,285.0,3,4,3,,4.70613,-74.09086,566.0803075293834,233.02918815201883,1.0,1.0,1.0,1.0,294.56775904954037,150.448501037487,586.9463779074197,1.0
28200000,21.692307692307693,387.68,4,5,4,,4.71179,-74.0961,288.7014556766158,14.634953248335979,1.0,1.0,1.0,2.0,135.45502465701148,8.479205707799952,255.84525861516943,1.0
6500000,5.0,158.0,3,4,2,4.0,4.73709,-74.062743,1526.1344577435455,48.05546000384002,1.0,1.0,1.0,2.0,349.08948761913,418.98625434498086,1439.462127904738,1.0
8364000,6.4338461538461535,131.0,3,3,2,6.0,4.7135473,-74.0888195,719.5414617627237,560.679192604106,1.0,1.0,1.0,1.0,536.6863276530318,550.5826216703631,235.4902075952143,1.0
1970000,1.5153846153846153,64.0,3,2,1,4.0,4.72378,-74.07437,273.91610278048057,139.9035034574131,1.0,1.0,1.0,1.0,341.8469778331156,236.50251334847738,22.304880448527044,1.0
13500000,10.384615384615385,344.0,4,5,4,6.0,4.72459,-74.07897,566.4092242322007,531.6501055022277,1.0,1.0,1.0,1.0,819.1706860791966,751.2932120644008,472.35236371940726,1.0
12300000,9.461538461538462,245.0,3,4,3,6.0,4.724593639373779,-74.0777587890625,460.0857313540944,422.7261695790387,1.0,1.0,1.0,1.0,685.2165786724904,617.9615938884049,345.6359652852941,1.0
2000000,1.5384615384615385,56.0,2,2,1,3.0,4.72193,-74.05461,361.2600215935645,143.04410614863997,1.0,1.0,1.0,1.0,132.08215071409313,194.71655961328798,312.5488916957469,1.0
9100000,7.0,487.0,4,3,4,,4.74213,-74.07474,1007.2238572178608,273.4030688462592,1.0,1.0,1.0,1.0,426.2510369929823,550.9794182600126,979.142913971087,1.0
6500000,5.0,166.8,3,4,4,6.0,4.742304,-74.075475,968.1828894479019,273.5006574869497,1.0,1.0,1.0,1.0,466.089774011782,544.2430999568035,939.527497334794,1.0
2972000,2.286153846153846,124.0,3,4,2,6.0,4.758218288421631,-74.06896209716797,2573.526825180179,352.6341407179964,1.0,1.0,1.0,1.0,839.9818623303686,615.8338087894404,418.17347250765243,1.0
8500000,6.538461538461538,224.7,3,4,3,,4.74448,-74.07175,1425.1513468081819,665.1980479433325,1.0,1.0,1.0,1.0,725.8395679642297,621.6422384892504,1343.8004267476356,1.0
8000000,6.153846153846154,205.0,3,4,3,,4.726383,-74.075489,143.13514527514508,104.13784016261873,1.0,1.0,1.0,1.0,451.7381328636863,457.02564708739493,172.02612922012577,1.0
2500000,1.9230769230769231,70.0,3,2,1,4.0,4.7533614,-74.0671668,2346.844406955911,244.53275209457374,1.0,1.0,1.0,1.0,274.5245024541125,289.10481501047667,703.7576165419946,1.0
4600000,3.5384615384615383,124.0,3,3,2,4.0,4.7565917767,-74.0752637386,2328.7355449264437,587.2849823350016,1.0,1.0,1.0,1.0,484.85484208516596,497.21531199117703,1124.2638378746672,1.0
1800000,1.3846153846153846,36.0,1,1,0,4.0,4.741128921508789,-74.06914520263672,1450.8726118106076,389.95636806840594,1.0,1.0,1.0,1.0,478.19440076244,511.37854507740224,1162.2562886886917,1.0
1100000,0.8461538461538461,60.0,2,1,0,2.0,4.74402,-74.11824,1231.0733118146256,165.3772319592511,1.0,1.0,1.0,1.0,1230.3194553646986,298.42614059485,1708.181384980176,1.0
2400000,1.8461538461538463,53.0,3,2,1,3.0,4.7490361,-74.0568013,1104.9765868663521,275.7343639842696,3.0,1.0,1.0,1.0,51.89191892365542,43.06734592587754,493.9851268795373,1.0
10000000,7.6923076923076925,344.0,4,5,4,6.0,4.7236777,-74.0786629,504.6628802195022,564.9847630319061,1.0,1.0,1.0,1.0,799.4960270245217,712.9052332258418,420.4179855288723,1.0
10000000,7.6923076923076925,192.89,3,3,2,,4.712405,-74.08118,984.3660669835662,123.95217548064053,1.0,1.0,1.0,1.0,752.227112860152,836.6177141220901,33.96079340985884,1.0
1600000,1.2307692307692308,69.0,3,2,0,3.0,4.7559000000000005,-74.10245,781.1475030018178,179.33600404502306,1.0,1.0,1.0,1.0,114.82148440106425,76.37430718869551,588.3392832585719,1.0
1100000,0.8461538461538461,50.0,2,1,0,3.0,4.72201,-74.07033,497.1078751992549,313.2473829404535,1.0,1.0,1.0,1.0,111.47429719829243,89.15058065906378,384.99245639384156,1.0
7100000,5.461538461538462,157.0,3,4,2,5.0,4.74260950088501,-74.05487060546875,766.1336620643048,373.376705289471,1.0,1.0,1.0,1.0,272.64969156071385,353.6385987767355,1152.8315868684995,1.0
2600000,2.0,88.0,3,2,1,,4.7407002449035645,-74.05949401855469,1283.0014552080404,36.29719978802191,1.0,1.0,1.0,1.0,188.84740699715243,264.9030983129029,1455.609292583933,1.0
2350000,1.8076923076923077,60.0,2,2,1,,4.76782,-74.06766,2625.748236712622,572.8557312892167,1.0,1.0,1.0,1.0,1326.8070753244147,965.3480618747407,824.3372946755833,1.0
