Valor Arriendo,Valor_Arriendo_SM,Area Construida,Cuartos,Banos,Garajes,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
1200000,0.9230769230769231,50.0,2,1,0,3.0,4.61891,-74.12235,405.2560704394602,143.4738669516064,1.0,1.0,1.0,1.0,129.9048259143263,71.52692293659882,381.2339530348859,1.0
2000000,1.5384615384615385,42.0,1,2,0,4.0,4.62638,-74.12405,71.44949736079202,173.235983797596,1.0,1.0,1.0,1.0,265.2404318499727,318.74556339518927,41.54285770362714,1.0
1630000,1.2538461538461538,41.0,1,1,0,,4.64625,-74.11788,705.0311405018234,666.1376339950709,1.0,1.0,1.0,1.0,925.3199609766474,717.6042805474268,667.6327182714139,1.0
5300000,4.076923076923077,80.0,3,3,1,4.0,4.64506,-74.10193,377.7495902118333,75.35855859097857,1.0,1.0,1.0,1.0,110.18483176589142,202.78293590059084,335.138786569458,1.0
1800000,1.3846153846153846,70.0,2,1,1,,4.61765,-74.1087,988.2450074526045,391.94375617691026,1.0,1.0,1.0,1.0,83.64257229937034,201.07633318829056,310.2512003974107,1.0
1600000,1.2307692307692308,85.0,2,1,0,3.0,4.61686,-74.12195,509.763384991155,26.527921022252755,1.0,1.0,1.0,1.0,77.47516330045542,76.43513001474108,500.8294474957181,1.0
1550000,1.1923076923076923,45.0,2,1,0,3.0,4.62917,-74.10668,426.70425440543283,136.55114304668558,1.0,1.0,1.0,1.0,281.0796131063519,299.28143374934285,115.7316407653977,1.0
2000000,1.5384615384615385,100.0,3,1,1,3.0,4.6308,-74.12935,150.66173841112365,110.34750613876717,1.0,1.0,1.0,1.0,183.3672854859568,249.12449343225677,160.93836235329982,1.0
3820000,2.9384615384615387,84.0,3,2,2,,4.649106979370117,-74.11603546142578,510.80117750428724,694.8947635571502,1.0,1.0,1.0,1.0,576.4351159514467,553.3901967193572,735.452892119634,1.0
7000000,5.384615384615385,89.0,3,3,2,4.0,4.6440582275390625,-74.10161590576172,425.5512359509533,159.4597652028355,2.0,1.0,1.0,1.0,7.300536993864398,92.23612479519409,372.30448695799765,1.0
2700000,2.076923076923077,77.0,3,2,1,4.0,4.64875,-74.10845,115.59121371965429,261.7467580348846,1.0,1.0,1.0,1.0,444.46056414805633,378.90908468882026,103.21115875186557,1.0
1328000,1.0215384615384615,46.0,2,1,0,3.0,4.62566614151001,-74.12268829345703,113.76009593817466,154.1198329038568,1.0,1.0,1.0,1.0,219.0838962370968,191.69422256179777,93.73208128448687,1.0
10000000,7.6923076923076925,207.0,3,4,3,,4.641166,-74.10148,576.494932244366,171.96679819491519,1.0,1.0,1.0,1.0,259.34665371245353,230.76157830952013,535.2753178456094,1.0
2450000,1.8846153846153846,58.0,2,2,1,4.0,4.642513,-74.09962,338.89909934334605,172.6040190188577,1.0,1.0,1.0,1.0,275.735987247018,249.49428478278614,285.6905852480622,1.0
4000000,3.076923076923077,90.0,3,2,0,4.0,4.6448187828063965,-74.104736328125,483.4193846764847,168.20819992462572,1.0,1.0,1.0,1.0,346.78144167703186,374.75529653422353,465.5426179935754,1.0
3414000,2.626153846153846,125.0,3,3,2,5.0,4.6422199,-74.1014689,546.5764575802773,61.809282071685125,1.0,1.0,1.0,1.0,146.8591682216544,116.52353923618354,460.90698007788205,1.0
1380000,1.0615384615384615,30.93,2,1,0,,4.64436,-74.11853,655.2878356213628,468.8540370407061,1.0,1.0,1.0,1.0,847.2325903838273,543.7268720737708,566.2301274404961,1.0
