Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
3270000,2.5153846153846153,51.4,,4.687525272369385,-74.03878784179688,267.39900295339726,87.95865985577971,1.0,1.0,1.0,1.0,376.1589905299146,359.04397296734123,271.9396118033401,1.0
25000000,19.23076923076923,440.0,6.0,4.665685,-74.048591,1327.814490723268,235.69932495393476,1.0,1.0,1.0,1.0,268.43592876140883,191.3260574993117,190.81008541746937,1.0
25012000,19.24,193.0,6.0,4.653465,-74.055297,573.9205471616625,96.00761324138419,1.0,1.0,1.0,1.0,140.6647421352041,159.2059409719523,67.76036408948302,1.0
44900000,34.53846153846154,320.0,6.0,4.676027,-74.042598,837.7615566656597,428.71143805800176,1.0,1.0,1.0,1.0,392.3968043551763,453.78885501644044,198.0331485187159,1.0
11200000,8.615384615384615,238.0,5.0,4.73228,-74.072524,590.0648067160647,127.04654866212124,1.0,1.0,1.0,1.0,551.7126117387356,521.587834672128,285.1581044110893,1.0
20000000,15.384615384615385,268.0,6.0,4.65515,-74.04997,1010.7388737571737,494.4293729798286,1.0,1.0,1.0,1.0,157.29808687315068,417.5247918211187,61.338570623882646,1.0
8900000,6.846153846153846,115.0,5.0,4.68799352645874,-74.04481506347656,518.1999086360822,216.8576700037285,1.0,1.0,1.0,1.0,289.39449047986767,220.27019850445637,101.67329281932882,1.0
6192000,4.763076923076923,300.0,,4.679815292358398,-74.04937744140625,648.8193970705355,84.01852237540946,3.0,1.0,1.0,2.0,78.01995700229466,146.27759377453052,413.3965728230704,1.0
23000000,17.692307692307693,295.0,,4.6799211502075195,-74.04043579101562,601.7361459773708,176.45297538509718,2.0,1.0,1.0,1.0,83.41502086770839,441.6860123052202,93.53998419889862,1.0
11500000,8.846153846153847,313.0,,4.673842430114746,-74.04837799072266,1124.4172966706249,53.62579710384351,1.0,1.0,1.0,1.0,196.29728440488768,122.9098786319395,570.5318808312928,1.0
12242000,9.416923076923077,385.0,,4.700686,-74.035235,1154.864746671053,119.05056094717214,1.0,1.0,1.0,1.0,321.2658528580176,338.6466584495368,242.90668096197206,1.0
4300000,3.3076923076923075,95.0,,4.672351837158203,-74.0515365600586,899.5359632394538,158.98507521214165,1.0,1.0,1.0,1.0,147.08589258370324,109.63311610387106,812.5484625428716,1.0
13000000,10.0,293.0,,4.696126461029053,-74.0486068725586,773.4123142580096,268.0261719176227,1.0,1.0,1.0,1.0,206.29402198693685,162.02463850541392,223.09218352736585,1.0
10504000,8.08,142.0,6.0,4.67604923248291,-74.05790710449219,126.91831862764354,85.18976857696939,1.0,1.0,1.0,1.0,502.00969379045944,190.43596644684132,286.59628094527704,1.0
20000000,15.384615384615385,500.0,6.0,4.68734262,-74.03407072,174.42433813491527,136.43647991494979,1.0,1.0,1.0,1.0,149.7934968191306,62.99335816967054,90.1286305759445,1.0
8000000,6.153846153846154,110.0,6.0,4.704408645629883,-74.04358673095703,1184.0232669830893,38.87295535853336,1.0,1.0,1.0,2.0,177.21435378468775,158.08421788092303,33.52775476948324,1.0
25000000,19.23076923076923,365.0,6.0,4.672657012939453,-74.04588317871094,1185.500374315898,271.6858203163342,1.0,1.0,1.0,1.0,350.55910775830006,260.63796762308976,264.7667341653923,1.0
2050000,1.5769230769230769,62.0,2.0,4.7783427238464355,-74.04515075683594,971.5429948348118,325.5406890956439,1.0,1.0,1.0,1.0,1689.6106717907687,1584.347401347773,1663.1424971204567,1.0
6200000,4.769230769230769,146.0,,5.026003,-74.0300122,28329.886420325733,22971.125798601992,1.0,1.0,1.0,1.0,28617.044075240774,28525.30347731814,22329.92648377163,1.0
15000000,11.538461538461538,294.0,,4.67407751083374,-74.05660247802734,335.74736474999116,336.370890123886,1.0,1.0,1.0,1.0,340.71466122928103,385.09486737505296,544.75623617987,1.0
9300000,7.153846153846154,152.14,5.0,4.686805725097656,-74.0373306274414,221.02469139855,186.45556529921214,1.0,1.0,1.0,1.0,231.29307593206886,308.9015733684485,222.03269436614235,1.0
