Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m,Cuartos,Banos,Garajes
"5,000,000",5.5034198250793045,120.0,6.0,4.7117416,-74.0476984,624.1484741773354,356.7785489554184,1.0,1.0,1.0,1.0,607.7456630707209,589.8764256080838,632.6537108959506,1.0,,,
"1,390,000",1.5299507113720463,79.0,5.0,4.7571062,-74.1014322,951.3823559278904,48.15948709407423,1.0,1.0,1.0,1.0,164.8507001919112,145.3635328645747,756.6287425126197,1.0,,,
"2,570,000",2.8287577900907626,81.0,4.0,4.665035,-74.1360882,801.8923496309903,46.89319055982898,1.0,1.0,1.0,1.0,548.664478406058,141.77437282108866,394.64882799560064,1.0,,,
"1,040,000",1.1447113236164952,58.0,5.0,4.6166171,-74.117441,986.3911037824344,108.19910186705408,1.0,1.0,1.0,1.0,365.38340800034746,88.00229445971726,971.3222162929012,1.0,,,
"850,000",0.9355813702634818,62.0,2.0,4.665035,-74.1360882,801.8923496309903,46.89319055982898,1.0,1.0,1.0,1.0,548.664478406058,141.77437282108866,394.64882799560064,1.0,,,
"2,070,000",2.278415807582832,103.0,4.0,4.6249823,-74.0877132,425.4084615836406,23.41701493255283,1.0,1.0,1.0,2.0,454.202645688978,404.5967250164544,19.313594504541932,1.0,,,
"1,840,000",2.025258495629184,83.0,5.0,4.6979476,-74.0517904,392.46418858904286,124.22014010228388,1.0,1.0,1.0,1.0,82.05316745000717,70.0300214415149,101.4239968325769,1.0,,,
"2,100,000",2.311436326533308,91.0,5.0,4.7216472,-74.0520209,89.09591949378044,72.89007274154748,1.0,1.0,1.0,1.0,64.08982429199658,100.3796886029042,290.6499409304703,1.0,,,
"4,070,000",4.479783737614554,165.0,5.0,4.6893762,-74.05824,416.91642483898335,474.38784403571145,1.0,1.0,1.0,1.0,306.950614847325,102.77989588411027,243.1748395809893,1.0,,,
"1,600,000",1.7610943440253777,103.0,4.0,4.6903098,-74.0720985,478.72235599505785,330.36805311088455,1.0,1.0,1.0,1.0,93.8016963621718,117.74400284319036,120.55292065433518,1.0,,,
"2,630,000",2.894798827991714,112.0,0.0,4.6763995,-74.0445241,764.100284607092,253.90624513232504,1.0,1.0,1.0,1.0,286.77940896720315,263.6945022195021,365.4898428649886,1.0,,,
"890,000",0.9796087288641162,41.0,0.0,4.6237626,-74.0985944,329.3756039527425,277.28482730144566,1.0,1.0,1.0,1.0,285.5599912650916,471.8555964826538,271.6967511924244,1.0,,,
"2,610,000",2.872785148691397,121.0,6.0,4.6896587,-74.0367342,179.41743170823162,194.9422074280084,1.0,1.0,1.0,1.0,272.5120127487624,101.35174219955329,157.579360365195,1.0,,,
"1,840,000",2.025258495629184,87.0,4.0,4.6728013,-74.1071693,795.9764075423249,102.43902802551555,1.0,1.0,1.0,1.0,129.98419884761495,128.86324444154883,756.3593599817673,1.0,,,
"5,130,000",5.646508740531366,78.0,5.0,4.6664323,-74.1307569,316.598173858182,118.85184031192776,1.0,1.0,1.0,1.0,209.94718436055555,300.5257829605019,54.417876086882345,1.0,,,
"2,620,000",2.8837919883415557,42.0,5.0,4.6545417,-74.0502515,998.1818209588616,503.6917893025756,1.0,1.0,1.0,1.0,148.17014972301055,381.9490767219807,44.76967997170888,1.0,,,
"3,280,000",3.610243405252024,160.0,6.0,4.6971414,-74.0322566,963.9327849604884,101.4976680935905,2.0,1.0,1.0,2.0,63.720216388465694,109.5089366373703,88.71276477693381,1.0,,,
"1,380,000",1.518943871721888,42.0,6.0,4.665035,-74.1360882,801.8923496309903,46.89319055982898,1.0,1.0,1.0,1.0,548.664478406058,141.77437282108866,394.64882799560064,1.0,,,
"4,940,000",5.4373787871783525,125.0,6.0,4.676486,-74.0543161,528.0838186904617,231.5645659950312,1.0,1.0,1.0,1.0,215.6196929244096,317.8460896670952,454.6931325084322,1.0,,,
"1,900,000",2.0912995335301354,94.0,5.0,4.7294296,-74.0524095,307.7408395875276,371.5158292532912,2.0,1.0,1.0,1.0,10.05251631692366,179.73105651339995,1145.7696107952047,1.0,,,
"3,790,000",4.1715922274101125,175.0,6.0,4.6926907,-74.1186483,1066.4897008912103,121.45974517372372,1.0,1.0,1.0,1.0,328.8994312497577,193.5030343878409,993.4393469814524,1.0,,,
"1,250,000",1.375854956269826,72.0,4.0,4.6729745,-74.1171786,237.31883819287515,107.83003556253468,1.0,1.0,1.0,1.0,404.3437664761922,447.8648818192272,101.60600528711132,1.0,,,
"2,100,000",2.311436326533308,92.0,5.0,4.6971414,-74.0322566,963.9327849604884,101.4976680935905,2.0,1.0,1.0,2.0,63.720216388465694,109.5089366373703,88.71276477693381,1.0,,,
"1,380,000",1.518943871721888,80.0,4.0,4.7571062,-74.1014322,951.3823559278904,48.15948709407423,1.0,1.0,1.0,1.0,164.8507001919112,145.3635328645747,756.6287425126197,1.0,,,
