Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
"5,000,000",5.5034198250793045,120,6,4.7117416,-74.0476984,624.1484741773354,356.77854895541833,1.0,1.0,1.0,1.0,607.7456630707209,589.8764256080838,632.6537108959506,1.0
"5,000,000",5.5034198250793045,120,6,4.7117416,-74.0476984,624.1484741773354,356.77854895541833,1.0,1.0,1.0,1.0,607.7456630707209,589.8764256080838,632.6537108959506,1.0
"1,390,000",1.5299507113720465,79,5,4.7571062,-74.1014322,951.3823559278904,48.15948709407423,1.0,1.0,1.0,1.0,164.8507001919112,145.3635328645747,756.6287425126197,1.0
"2,570,000",2.8287577900907626,81,4,4.665035,-74.1360882,801.8923496309903,46.89319055982898,1.0,1.0,1.0,1.0,548.664478406058,141.77437282108866,394.64882799560064,1.0
"5,780,000",6.361953317791675,238,5,4.7078638,-74.0293673,2134.281984635118,122.60516978615719,1.0,1.0,1.0,1.0,66.83603031087928,53.831825377310594,84.45477862311732,1.0
"3,190,000",3.511181848400596,188,5,4.7533084,-74.1094297,578.7313478211174,84.00799933908185,1.0,1.0,1.0,2.0,328.9432281255404,122.57162250460767,603.5693733109734,1.0
"1,040,000",1.1447113236164952,58,5,4.6166171,-74.117441,986.3911037824344,108.19910186705408,1.0,1.0,1.0,1.0,365.38340800034746,88.00229445971726,971.3222162929012,1.0
"850,000",0.9355813702634818,62,2,4.665035,-74.1360882,801.8923496309903,46.89319055982898,1.0,1.0,1.0,1.0,548.664478406058,141.77437282108866,394.64882799560064,1.0
"2,070,000",2.278415807582832,103,4,4.6249823,-74.0877132,425.4084615836406,23.41701493255283,1.0,1.0,1.0,2.0,454.202645688978,404.59672501645434,19.313594504541935,1.0
"8,850,000",9.741053090390368,387,6,4.695029,-74.0502181,654.0238999926004,73.01760263257239,1.0,1.0,1.0,2.0,17.259052755751057,74.94321674604083,391.36531391112175,1.0
"1,840,000",2.025258495629184,83,5,4.6979476,-74.0517904,392.46418858904286,124.22014010228388,1.0,1.0,1.0,1.0,82.05316745000717,70.0300214415149,101.4239968325769,1.0
"2,100,000",2.311436326533308,91,5,4.7216472,-74.0520209,89.09591949378044,72.89007274154748,1.0,1.0,1.0,1.0,64.08982429199658,100.3796886029042,290.6499409304703,1.0
"4,790,000",5.272276192425974,180,4,4.7047644,-74.0391141,1567.5634930822748,140.04441809174872,1.0,1.0,1.0,1.0,188.11675904384222,125.77447754070643,76.9568690989225,1.0
"4,070,000",4.479783737614554,165,5,4.6893762,-74.05824,416.91642483898335,474.38784403571145,1.0,1.0,1.0,1.0,306.950614847325,102.77989588411027,243.1748395809893,1.0
"1,600,000",1.7610943440253775,103,4,4.6903098,-74.0720985,478.72235599505785,330.36805311088455,1.0,1.0,1.0,1.0,93.80169636217181,117.74400284319036,120.55292065433518,1.0
"2,630,000",2.894798827991714,112,0,4.6763995,-74.0445241,764.100284607092,253.90624513232504,1.0,1.0,1.0,1.0,286.77940896720315,263.6945022195021,365.4898428649886,1.0
"890,000",0.9796087288641162,41,0,4.6237626,-74.0985944,329.37560395274255,277.28482730144566,1.0,1.0,1.0,1.0,285.5599912650916,471.8555964826538,271.69675119242436,1.0
"5,500,000",6.053761807587235,481,6,4.6737473,-74.0518814,828.1056009530372,0.0,1.0,1.0,1.0,1.0,17.004335407718628,132.84691143335127,856.0695946157401,1.0
"2,610,000",2.872785148691397,121,6,4.6896587,-74.0367342,179.41743170823162,194.94220742800837,1.0,1.0,1.0,1.0,272.5120127487624,101.35174219955329,157.579360365195,1.0
"8,430,000",9.278765825083706,339,6,4.7171044,-74.0297302,2450.777405452059,59.18823698003184,4.0,1.0,1.0,3.0,41.46325119377034,30.09175442028618,100.1477233743418,1.0
"1,840,000",2.025258495629184,87,4,4.6728013,-74.1071693,795.9764075423249,102.43902802551557,1.0,1.0,1.0,1.0,129.98419884761495,128.86324444154883,756.3593599817673,1.0
"5,270,000",5.8006044956335865,184,6,4.7225271,-74.0385022,1416.4032162101362,290.8626314671697,1.0,1.0,1.0,1.0,83.00955932150512,85.88849365676711,669.9417723828501,1.0
"5,130,000",5.646508740531366,78,5,4.6664323,-74.1307569,316.598173858182,118.85184031192775,1.0,1.0,1.0,1.0,209.94718436055555,300.5257829605019,54.417876086882345,1.0
"2,620,000",2.8837919883415553,42,5,4.6545417,-74.0502515,998.1818209588615,503.6917893025756,1.0,1.0,1.0,1.0,148.17014972301055,381.9490767219807,44.769679971708875,1.0
"3,280,000",3.6102434052520236,160,6,4.6971414,-74.0322566,963.9327849604883,101.4976680935905,2.0,1.0,1.0,2.0,63.720216388465694,109.5089366373703,88.71276477693381,1.0
"1,380,000",1.518943871721888,42,6,4.665035,-74.1360882,801.8923496309903,46.89319055982898,1.0,1.0,1.0,1.0,548.664478406058,141.77437282108866,394.64882799560064,1.0
"4,410,000",4.854016285719946,157,6,4.6910672,-74.1626643,1779.4007023498418,0.0,1.0,1.0,1.0,1.0,1733.766180116836,215.31452945108816,294.7583530072854,1.0
"4,940,000",5.4373787871783525,125,6,4.676486,-74.0543161,528.0838186904617,231.56456599503116,1.0,1.0,1.0,1.0,215.6196929244096,317.84608966709516,454.6931325084322,1.0
